Region,Segment,Sub-segment,Sub-segment 1,Sub-segment 2,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033
U.S.,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,30.9,35.0,39.4,44.3,50.0,56.5,64.0,72.8,82.7,93.8,106.4,120.9,137.2
U.S.,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,17.1,19.4,22.1,25.2,28.7,32.8,37.5,42.9,49.0,56.1,64.1,73.2,83.5
U.S.,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,76.4,85.9,96.7,108.9,122.5,137.7,154.8,174.3,196.5,221.7,250.1,281.8,317.2
U.S.,By Component,Hardware,Payment Units,Payment Units,18.7,20.6,22.7,25.1,27.7,30.7,34.0,37.6,41.6,46.1,51.1,56.6,62.8
U.S.,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,73.0,79.5,86.7,94.7,103.2,112.4,122.4,133.5,145.9,159.5,174.3,190.3,207.6
U.S.,By Component,Hardware,Receipt Printer,Receipt Printer,25.5,27.5,29.8,32.2,34.8,37.4,40.4,43.6,47.2,51.2,55.6,60.3,65.4
U.S.,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)",35.9,40.0,44.6,49.6,55.2,61.4,68.3,76.2,85.2,95.4,106.9,119.6,133.7
U.S.,By Component,Software,Scanning & Decoding software,Scanning & Decoding software,39.2,43.4,48.0,52.9,58.4,64.6,71.8,80.0,89.0,99.0,110.0,122.4,136.1
U.S.,By Component,Software,Computer Vision Software,Computer Vision Software,8.9,10.2,11.6,13.2,15.0,17.1,19.5,22.4,25.6,29.3,33.6,38.4,44.0
U.S.,By Component,Software,POS & Payment Integration Software,POS & Payment Integration Software,32.1,35.9,40.3,45.2,50.8,57.3,64.7,73.2,82.9,93.7,105.8,119.3,134.2
U.S.,By Component,Software,Store Operations & Workflow Software,Store Operations & Workflow Software,24.2,27.5,31.2,35.3,40.0,45.2,51.1,58.0,66.0,75.1,85.6,97.4,110.7
U.S.,By Component,Software,"Others (Analytics & Dashboard Software, etc.)","Others (Analytics & Dashboard Software, etc.)",12.4,13.8,15.4,17.3,19.3,21.5,23.9,26.7,29.9,33.6,37.7,42.2,47.3
U.S.,By Component,Services,Managed Services,Managed Services,122.8,138.4,155.7,175.6,199.2,227.3,260.9,300.1,344.9,396.0,454.2,521.0,597.7
U.S.,By Component,Services,Professional Services,Professional Services,91.5,103.1,116.3,131.2,147.7,166.1,187.0,211.0,238.8,270.5,306.5,347.1,392.5
U.S.,By Product Type,Fixed-Position Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,238.3,262.6,288.9,317.6,349.2,384.7,424.9,470.3,520.8,576.5,638.3,706.6,781.9
U.S.,By Product Type,Fixed-Position Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,262.6,292.6,326.3,364.3,407.2,456.2,511.9,575.4,646.8,727.0,816.4,915.7,"1,025.9"
U.S.,By Product Type,Fixed-Position Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,109.7,121.8,135.3,150.5,167.4,186.0,206.8,230.2,256.7,286.7,320.3,357.6,398.7
U.S.,By Product Type,Mobile Self-Scanning Solutions,Dedicated Mobile Self-Scanning Devices,Dedicated Mobile Self-Scanning Devices,40.6,46.7,53.7,61.9,71.2,82.1,94.8,109.5,126.8,146.8,169.8,196.1,226.2
U.S.,By Product Type,Mobile Self-Scanning Solutions,Smartphone-Based Self-Scanning,Smartphone-Based Self-Scanning,17.0,20.0,23.5,27.5,32.3,38.0,44.8,52.9,62.4,73.7,87.0,102.7,121.1
U.S.,By Product Type,Mobile Self-Scanning Solutions,Smart-Cart-Based Self-Scanning,Smart-Cart-Based Self-Scanning,18.5,22.0,26.3,31.3,37.4,44.6,53.2,63.7,76.4,91.6,109.9,131.6,157.4
U.S.,By Model Type,Cash Model,Cash Model,Cash Model,219.5,240.9,264.7,291.2,320.8,353.9,390.9,432.1,477.6,527.8,582.7,643.1,709.0
U.S.,By Model Type,Cashless Model,Cashless Model,Cashless Model,467.3,524.7,589.2,661.9,744.0,837.7,945.6,"1,069.9","1,212.2","1,374.6","1,559.0","1,767.2","2,002.3"
U.S.,By Technology,Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),606.6,672.1,744.7,825.5,915.7,"1,017.3","1,132.4","1,262.6","1,408.7","1,571.6","1,752.7","1,953.1","2,174.2"
U.S.,By Technology,RFID-Based Scanning,RFID-Based Scanning,RFID-Based Scanning,23.5,26.5,29.7,33.3,37.3,41.9,47.3,53.4,60.4,68.3,77.1,87.2,98.6
U.S.,By Technology,Computer Vision and AI Scanning,Computer Vision and AI Scanning,Computer Vision and AI Scanning,56.7,67.1,79.6,94.4,111.8,132.4,156.8,186.0,220.8,262.4,311.8,369.9,438.6
U.S.,By Retail Format,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,Supermarkets & Hypermarkets,383.9,427.3,475.5,529.3,589.8,658.6,737.2,826.9,928.3,"1,042.2","1,169.7","1,312.0","1,470.6"
U.S.,By Retail Format,Convenience Stores,Convenience Stores,Convenience Stores,85.6,96.3,108.4,122.2,137.9,155.7,176.0,199.1,225.6,255.9,290.6,329.9,374.4
U.S.,By Retail Format,Specialty and Discount Stores,Specialty and Discount Stores,Specialty and Discount Stores,68.5,75.9,84.0,93.0,103.1,114.3,127.1,141.6,158.0,176.4,196.9,220.0,245.6
U.S.,By Retail Format,Department Stores,Department Stores,Department Stores,43.5,47.6,52.1,57.1,62.7,68.9,75.7,83.4,92.0,101.6,112.3,124.0,137.0
U.S.,By Retail Format,Warehouse Clubs,Warehouse Clubs,Warehouse Clubs,71.9,81.8,93.4,106.7,122.1,139.9,160.6,184.8,212.8,245.2,282.5,325.1,374.1
U.S.,By Retail Format,Pharmacies & Drugstores,Pharmacies & Drugstores,Pharmacies & Drugstores,33.5,36.8,40.5,44.7,49.2,54.3,59.9,66.2,73.2,81.0,89.7,99.2,109.6
Canada,By Component,Hardware,Kiosk Scanner Devices,Single-plane Kiosk Scanners,2.6,2.8,3.0,3.3,3.6,3.9,4.2,4.6,5.0,5.5,6.0,6.5,7.1
Canada,By Component,Hardware,Kiosk Scanner Devices,Multi-plane (Bioptic) Kiosk Scanners,7.3,8.0,8.8,9.6,10.6,11.6,12.7,13.9,15.3,16.8,18.5,20.3,22.3
Canada,By Component,Hardware,Kiosk Scanner Devices,Presentation Kiosk Scanners,0.9,1.0,1.0,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.4,2.6,2.9
Canada,By Component,Hardware,Dedicated / Retailer-Supplied Mobile Devices,Dedicated / Retailer-Supplied Mobile Devices,5.5,6.2,7.1,8.0,9.0,10.2,11.5,13.0,14.7,16.7,19.0,21.6,24.5
Canada,By Component,Hardware,Smart-Cart Units,Smart-Cart Units,3.6,4.1,4.6,5.3,6.0,6.8,7.8,8.9,10.2,11.7,13.3,15.2,17.3
Canada,By Component,Hardware,Kiosk Terminals / Display + Controller,Kiosk Terminals / Display + Controller,11.7,13.1,14.8,16.6,18.6,20.9,23.5,26.4,29.7,33.4,37.6,42.3,47.5
Canada,By Component,Hardware,Payment Units,Payment Units,3.2,3.5,3.8,4.2,4.6,5.1,5.6,6.2,6.8,7.5,8.4,9.2,10.2
Canada,By Component,Hardware,Kiosk Cabinet / Enclosure,Kiosk Cabinet / Enclosure,12.0,13.0,14.1,15.3,16.6,18.0,19.5,21.1,23.0,25.1,27.3,29.8,32.4
Canada,By Component,Hardware,Receipt Printer,Receipt Printer,5.1,5.5,5.9,6.3,6.7,7.3,7.8,8.5,9.1,9.9,10.6,11.5,12.3
Canada,By Component,Hardware,"Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)","Others (Scale / Bagging Hardware, Power & Internal Electronics, Mounting / Wiring / Minor Internal Hardware, Embedded Scan Modules, Network & Accessories)",6.1,6.8,7.5,8.3,9.3,10.4,11.5,12.9,14.3,16.0,17.8,19.9,22.2
Canada,By Component,Software,Scanning & Decoding software,Scanning & Decoding software,6.4,7.0,7.8,8.6,9.5,10.5,11.6,12.8,14.3,15.8,17.6,19.6,21.7
Canada,By Component,Software,Computer Vision Software,Computer Vision Software,1.3,1.4,1.6,1.9,2.1,2.4,2.8,3.2,3.6,4.2,4.8,5.4,6.2
Canada,By Component,Software,POS & Payment Integration Software,POS & Payment Integration Software,5.3,6.0,6.7,7.5,8.4,9.4,10.6,12.0,13.5,15.2,17.1,19.3,21.8
Canada,By Component,Software,Store Operations & Workflow Software,Store Operations & Workflow Software,3.9,4.4,4.9,5.6,6.4,7.2,8.2,9.3,10.5,12.0,13.6,15.4,17.5
Canada,By Component,Software,"Others (Analytics & Dashboard Software, etc.)","Others (Analytics & Dashboard Software, etc.)",1.9,2.1,2.4,2.6,2.9,3.3,3.7,4.1,4.6,5.1,5.7,6.4,7.1
Canada,By Component,Services,Managed Services,Managed Services,20.3,22.3,24.5,27.0,29.9,33.2,36.8,40.9,45.4,50.5,56.5,63.3,70.9
Canada,By Component,Services,Professional Services,Professional Services,14.8,16.7,18.7,20.9,23.4,26.3,29.7,33.5,37.9,42.7,48.2,54.4,61.4
Canada,By Product Type,Fixed-Position Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,Single-Plane Self-Scanning Kiosks,38.5,42.1,46.0,50.3,55.2,60.5,66.5,73.0,80.2,88.1,97.0,106.7,117.3
Canada,By Product Type,Fixed-Position Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,Multi-Plane Self-Scanning Kiosks,43.9,48.7,54.1,60.1,66.7,74.1,82.3,91.7,102.3,114.2,127.6,142.5,158.9
Canada,By Product Type,Fixed-Position Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,Presentation Self-Scanning Kiosks,18.3,20.1,22.2,24.5,27.0,29.9,33.0,36.6,40.5,44.8,49.7,55.1,61.1
Canada,By Product Type,Mobile Self-Scanning Solutions,Dedicated Mobile Self-Scanning Devices,Dedicated Mobile Self-Scanning Devices,6.0,6.9,7.8,8.9,10.2,11.7,13.4,15.4,17.7,20.4,23.4,26.9,30.8
Canada,By Product Type,Mobile Self-Scanning Solutions,Smartphone-Based Self-Scanning,Smartphone-Based Self-Scanning,2.6,3.0,3.5,4.1,4.8,5.6,6.6,7.7,9.1,10.6,12.5,14.6,17.1
Canada,By Product Type,Mobile Self-Scanning Solutions,Smart-Cart-Based Self-Scanning,Smart-Cart-Based Self-Scanning,2.6,3.0,3.6,4.3,5.1,6.0,7.1,8.5,10.1,12.1,14.4,17.1,20.3
Canada,By Model Type,Cash Model,Cash Model,Cash Model,37.2,40.7,44.6,48.9,53.5,58.6,64.1,70.2,77.0,84.6,92.9,101.9,111.6
Canada,By Model Type,Cashless Model,Cashless Model,Cashless Model,74.6,83.1,92.6,103.4,115.5,129.2,144.9,162.7,182.8,205.6,231.6,260.9,293.8
Canada,By Technology,Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),Barcode Scanning (1D/2D),96.3,106.0,116.6,128.4,141.4,155.7,171.6,189.3,209.0,230.9,255.3,282.2,311.5
